id,fechaInicio,duracion,cantidad,tipo,cliente
1044,2020-04-05,3,7,HABITACION,426
1045,2020-02-17,28,2,APARTAMENTO,279
1046,2019-06-30,6,40,HABITACION,5
1047,2020-03-25,23,12,HABITACION,646
1048,2019-07-05,14,33,HABITACION,871
1049,2018-12-03,8,22,APARTAMENTO,737
1050,2018-10-24,23,26,HABITACION,175
1051,2019-08-31,9,23,HABITACION,963
1052,2019-06-05,5,38,HABITACION,281
1053,2019-11-16,1,13,HABITACION,557
1054,2020-01-10,19,24,HABITACION,161
1055,2020-01-23,25,36,APARTAMENTO,116
1056,2019-06-12,8,17,HABITACION,822
1057,2020-05-22,2,3,APARTAMENTO,232
1058,2019-11-13,4,36,APARTAMENTO,997
1059,2019-05-19,28,27,APARTAMENTO,7
1060,2020-02-29,7,6,HABITACION,981
1061,2019-05-15,21,40,APARTAMENTO,64
1062,2019-07-27,14,7,APARTAMENTO,913
1063,2020-01-19,30,5,HABITACION,332
1064,2019-04-07,17,8,HABITACION,517
1065,2019-12-22,19,2,APARTAMENTO,142
1066,2019-01-08,9,23,HABITACION,115
1067,2020-01-30,3,17,APARTAMENTO,903
1068,2019-10-21,16,37,HABITACION,443
1069,2019-09-23,16,38,APARTAMENTO,368
1070,2019-06-08,9,7,HABITACION,506
1071,2018-12-03,19,10,HABITACION,875
1072,2019-03-08,28,22,APARTAMENTO,500
1073,2019-06-21,15,14,APARTAMENTO,658
1074,2019-08-30,10,3,APARTAMENTO,528
1075,2019-10-15,17,16,HABITACION,16
1076,2019-03-30,7,16,APARTAMENTO,206
1077,2018-11-24,1,12,APARTAMENTO,157
1078,2019-07-26,15,15,APARTAMENTO,552
1079,2020-04-25,11,26,HABITACION,661
1080,2019-05-24,17,32,APARTAMENTO,257
1081,2019-07-10,26,32,APARTAMENTO,460
1082,2019-11-02,26,12,HABITACION,997
1083,2019-04-14,7,30,HABITACION,407
1084,2020-01-11,25,26,APARTAMENTO,9
1085,2019-06-23,10,35,APARTAMENTO,876
1086,2020-03-11,15,15,APARTAMENTO,335
1087,2019-05-26,4,3,APARTAMENTO,750
1088,2019-04-03,9,2,HABITACION,70
1089,2019-03-08,20,33,HABITACION,655
1090,2019-06-04,3,9,HABITACION,717
1091,2018-11-08,14,36,HABITACION,349
1092,2019-09-06,29,8,APARTAMENTO,268
1093,2020-02-17,30,34,HABITACION,975
1094,2020-01-06,5,10,HABITACION,309
1095,2018-12-04,10,36,APARTAMENTO,997
1096,2019-01-16,6,31,HABITACION,559
1097,2020-04-08,18,26,HABITACION,329
1098,2020-05-10,1,20,APARTAMENTO,560
1099,2019-09-27,30,24,APARTAMENTO,339
1100,2020-01-21,8,26,APARTAMENTO,116
1101,2020-05-12,23,21,HABITACION,500
1102,2018-11-28,20,15,HABITACION,998
1103,2020-05-06,8,23,APARTAMENTO,780
1104,2019-03-14,24,29,HABITACION,418
1105,2019-09-13,8,27,HABITACION,241
1106,2019-11-13,26,9,APARTAMENTO,274
1107,2019-07-14,1,3,APARTAMENTO,173
1108,2019-08-24,1,19,HABITACION,431
1109,2019-01-18,4,3,APARTAMENTO,424
1110,2019-12-24,10,38,APARTAMENTO,768
1111,2018-10-17,11,22,HABITACION,484
1112,2019-10-09,29,26,HABITACION,949
1113,2020-03-23,6,21,HABITACION,140
1114,2019-05-16,12,20,APARTAMENTO,80
1115,2020-03-23,8,12,HABITACION,333
1116,2019-09-26,8,20,HABITACION,853
1117,2020-05-03,26,24,HABITACION,577
1118,2020-04-18,4,37,HABITACION,564
1119,2019-03-29,4,6,HABITACION,916
1120,2018-11-22,5,11,HABITACION,710
1121,2020-01-15,27,31,APARTAMENTO,866
1122,2018-11-08,18,12,HABITACION,252
1123,2019-10-11,14,11,APARTAMENTO,674
1124,2018-10-27,6,9,APARTAMENTO,841
1125,2019-03-11,15,5,HABITACION,425
1126,2018-11-29,21,26,APARTAMENTO,352
1127,2019-03-15,8,33,HABITACION,658
1128,2019-06-27,9,38,APARTAMENTO,133
1129,2020-02-02,22,33,APARTAMENTO,957
1130,2020-01-18,20,15,APARTAMENTO,259
1131,2020-02-08,7,40,HABITACION,360
1132,2019-04-23,16,39,APARTAMENTO,657
1133,2019-05-26,7,28,HABITACION,66
1134,2018-11-11,19,9,APARTAMENTO,619
1135,2019-07-08,5,35,APARTAMENTO,387
1136,2019-03-21,22,28,HABITACION,958
1137,2020-03-02,26,26,HABITACION,476
1138,2019-05-18,20,11,HABITACION,77
1139,2020-01-15,12,4,APARTAMENTO,988
1140,2019-09-24,19,20,APARTAMENTO,894
1141,2019-10-22,29,30,APARTAMENTO,113
1142,2018-11-30,14,5,APARTAMENTO,778
1143,2018-10-23,6,5,APARTAMENTO,886
1144,2019-10-21,13,27,APARTAMENTO,568
1145,2020-02-05,30,14,HABITACION,83
1146,2019-01-24,7,29,APARTAMENTO,340
1147,2019-07-11,17,40,HABITACION,216
1148,2020-03-27,30,8,HABITACION,520
1149,2019-07-01,18,13,APARTAMENTO,218
1150,2020-01-07,21,20,APARTAMENTO,239
1151,2019-01-17,14,21,APARTAMENTO,971
1152,2019-06-12,23,3,APARTAMENTO,380
1153,2020-04-30,21,37,HABITACION,97
1154,2019-04-19,6,23,APARTAMENTO,441
1155,2019-03-20,11,15,HABITACION,853
1156,2019-03-19,15,20,HABITACION,544
1157,2019-11-24,8,27,APARTAMENTO,426
1158,2020-05-19,6,23,HABITACION,718
1159,2020-05-04,20,28,HABITACION,58
1160,2019-08-25,4,31,APARTAMENTO,638
1161,2019-11-02,28,17,HABITACION,598
1162,2020-05-14,3,17,HABITACION,839
1163,2019-06-28,18,6,HABITACION,717
1164,2019-01-20,25,38,APARTAMENTO,870
1165,2020-03-28,26,23,HABITACION,918
1166,2019-01-17,13,29,APARTAMENTO,712
1167,2020-03-27,29,13,APARTAMENTO,718
1168,2020-01-22,14,3,HABITACION,850
1169,2019-10-09,22,32,HABITACION,614
1170,2019-05-27,24,28,HABITACION,666
1171,2020-05-10,14,19,HABITACION,249
1172,2019-06-21,10,5,APARTAMENTO,408
1173,2019-12-12,5,27,HABITACION,42
1174,2019-03-10,20,11,APARTAMENTO,50
1175,2019-06-19,6,13,HABITACION,364
1176,2019-09-21,22,29,HABITACION,309
1177,2019-01-29,30,35,APARTAMENTO,361
1178,2019-04-05,10,18,HABITACION,171
1179,2020-05-06,6,10,APARTAMENTO,974
1180,2019-12-02,10,6,APARTAMENTO,823
1181,2020-01-31,30,12,APARTAMENTO,149
1182,2020-03-10,16,18,HABITACION,857
1183,2019-04-07,13,9,APARTAMENTO,138
1184,2019-12-18,20,25,APARTAMENTO,710
1185,2020-01-06,18,28,HABITACION,279
1186,2019-11-04,1,7,HABITACION,613
1187,2020-01-17,7,1,HABITACION,344
1188,2020-04-27,17,9,APARTAMENTO,71
1189,2018-11-30,25,22,HABITACION,449
1190,2019-05-17,11,37,HABITACION,992
1191,2018-11-12,4,7,HABITACION,88
1192,2019-08-23,30,32,HABITACION,628
1193,2019-07-26,20,16,HABITACION,357
1194,2019-04-30,14,17,HABITACION,274
1195,2019-11-29,21,13,APARTAMENTO,679
1196,2019-04-11,5,18,HABITACION,892
1197,2020-04-24,27,30,APARTAMENTO,651
1198,2019-08-28,4,8,APARTAMENTO,24
1199,2020-04-12,22,4,HABITACION,670
1200,2018-11-02,15,27,HABITACION,182
1201,2019-09-29,6,23,HABITACION,741
1202,2019-05-17,16,3,APARTAMENTO,869
1203,2019-09-21,15,21,HABITACION,532
1204,2019-11-12,11,1,HABITACION,750
1205,2019-10-25,29,18,HABITACION,573
1206,2019-03-26,11,3,HABITACION,956
1207,2019-11-07,12,4,APARTAMENTO,575
1208,2019-07-20,15,18,APARTAMENTO,305
1209,2019-06-29,22,17,APARTAMENTO,806
1210,2019-03-23,11,17,HABITACION,875
1211,2019-09-26,22,39,APARTAMENTO,958
1212,2019-10-28,1,6,APARTAMENTO,452
1213,2019-09-26,2,24,HABITACION,654
1214,2019-08-21,11,34,HABITACION,358
1215,2019-09-08,11,10,APARTAMENTO,431
1216,2019-03-17,8,7,HABITACION,322
1217,2020-03-10,21,30,HABITACION,620
1218,2019-03-19,27,27,APARTAMENTO,647
1219,2019-03-27,29,31,APARTAMENTO,591
1220,2018-11-17,9,23,APARTAMENTO,143
1221,2019-04-15,15,35,APARTAMENTO,471
1222,2020-03-26,7,34,HABITACION,238
1223,2020-03-27,29,29,APARTAMENTO,865
1224,2020-03-05,12,25,APARTAMENTO,18
1225,2020-03-07,28,2,APARTAMENTO,271
1226,2019-12-06,19,21,APARTAMENTO,823
1227,2019-01-21,21,29,HABITACION,213
1228,2019-10-25,2,6,APARTAMENTO,77
1229,2019-02-20,21,35,APARTAMENTO,619
1230,2020-04-04,19,19,HABITACION,28
1231,2019-10-27,12,34,APARTAMENTO,664
1232,2019-12-29,26,7,HABITACION,688
1233,2019-05-04,15,12,HABITACION,376
1234,2019-08-24,5,32,HABITACION,290
1235,2019-01-19,23,24,APARTAMENTO,924
1236,2020-02-19,28,7,APARTAMENTO,976
1237,2020-02-11,1,25,APARTAMENTO,103
1238,2019-03-20,4,30,HABITACION,125
1239,2019-09-22,30,33,HABITACION,55
1240,2019-10-23,17,25,HABITACION,799
1241,2018-10-19,10,30,APARTAMENTO,235
1242,2019-09-17,27,12,HABITACION,499
1243,2020-02-06,8,38,APARTAMENTO,110
1244,2019-09-24,17,15,HABITACION,248
1245,2019-11-09,5,33,HABITACION,23
1246,2018-10-27,3,23,APARTAMENTO,567
1247,2019-04-10,9,23,HABITACION,855
1248,2019-06-01,28,14,APARTAMENTO,539
1249,2020-03-16,19,35,HABITACION,662
1250,2019-06-28,23,19,APARTAMENTO,74
1251,2019-01-20,7,12,APARTAMENTO,466
1252,2019-02-20,25,8,APARTAMENTO,982
1253,2019-07-31,8,9,HABITACION,971
1254,2020-01-06,21,31,APARTAMENTO,582
1255,2020-03-14,23,19,HABITACION,392
1256,2019-03-25,17,32,HABITACION,245
1257,2019-03-15,15,33,APARTAMENTO,424
1258,2020-02-01,10,21,HABITACION,69
1259,2019-11-05,13,36,APARTAMENTO,11
1260,2020-03-26,1,39,HABITACION,887
1261,2019-08-30,11,23,HABITACION,438
1262,2020-04-09,4,8,HABITACION,942
1263,2020-05-16,1,5,APARTAMENTO,961
1264,2019-11-27,11,29,HABITACION,924
1265,2019-02-04,25,24,HABITACION,7
1266,2019-01-22,26,29,APARTAMENTO,189
1267,2019-09-23,25,16,APARTAMENTO,596
1268,2020-01-11,23,20,APARTAMENTO,253
1269,2020-04-05,9,12,APARTAMENTO,558
1270,2019-12-20,17,26,HABITACION,396
1271,2019-03-17,9,27,HABITACION,537
1272,2019-09-13,17,17,APARTAMENTO,394
1273,2020-02-27,30,31,HABITACION,404
1274,2019-02-09,5,32,APARTAMENTO,819
1275,2019-08-20,29,37,HABITACION,265
1276,2020-04-12,13,38,HABITACION,106
1277,2018-10-23,16,39,APARTAMENTO,790
1278,2019-08-17,14,31,HABITACION,697
1279,2020-02-02,5,15,HABITACION,60
1280,2019-01-04,28,28,HABITACION,263
1281,2020-01-29,27,1,HABITACION,554
1282,2019-02-19,24,4,APARTAMENTO,143
1283,2019-10-14,29,13,HABITACION,696
1284,2019-08-21,5,10,APARTAMENTO,541
1285,2018-12-27,9,18,APARTAMENTO,323
1286,2019-06-10,6,12,HABITACION,226
1287,2019-03-24,21,25,APARTAMENTO,780
1288,2020-01-02,11,27,HABITACION,284
1289,2019-10-09,12,16,HABITACION,425
1290,2020-01-19,3,23,APARTAMENTO,152
1291,2019-01-13,24,6,APARTAMENTO,142
1292,2020-04-12,12,20,APARTAMENTO,903
1293,2019-06-27,19,6,HABITACION,876
1294,2019-08-25,22,16,APARTAMENTO,749
1295,2019-03-13,6,2,APARTAMENTO,13
1296,2019-01-16,10,23,APARTAMENTO,897
1297,2019-07-01,17,10,HABITACION,715
1298,2019-06-16,2,30,APARTAMENTO,306
1299,2018-12-13,14,1,APARTAMENTO,207
1300,2019-12-04,8,30,HABITACION,463
1301,2020-04-27,23,4,APARTAMENTO,690
1302,2019-03-08,21,10,APARTAMENTO,215
1303,2019-01-11,6,1,HABITACION,383
1304,2018-11-23,18,24,APARTAMENTO,64
1305,2019-12-05,11,1,APARTAMENTO,374
1306,2019-09-14,27,31,HABITACION,392
1307,2019-06-11,9,1,APARTAMENTO,484
1308,2019-04-16,2,11,APARTAMENTO,236
1309,2019-11-30,10,3,APARTAMENTO,60
1310,2019-12-21,22,14,HABITACION,499
1311,2019-04-29,5,27,HABITACION,345
1312,2019-07-06,16,13,HABITACION,464
1313,2018-10-15,2,2,HABITACION,455
1314,2019-02-09,13,5,HABITACION,734
1315,2019-07-20,14,18,HABITACION,225
1316,2019-07-06,28,28,APARTAMENTO,586
1317,2018-10-21,20,31,HABITACION,729
1318,2019-01-29,2,2,HABITACION,909
1319,2018-12-29,16,29,HABITACION,983
1320,2020-01-12,3,8,HABITACION,696
1321,2019-02-27,6,19,APARTAMENTO,861
1322,2019-06-04,28,29,HABITACION,442
1323,2019-12-08,12,5,APARTAMENTO,118
1324,2019-03-07,10,9,APARTAMENTO,904
1325,2020-04-30,16,5,HABITACION,876
1326,2019-07-16,2,10,HABITACION,495
1327,2019-04-05,30,27,APARTAMENTO,181
1328,2020-04-10,19,31,HABITACION,892
1329,2019-04-02,14,9,APARTAMENTO,852
1330,2019-03-29,25,5,HABITACION,525
1331,2019-01-13,8,1,HABITACION,839
1332,2020-05-08,14,14,HABITACION,976
1333,2019-01-26,2,27,APARTAMENTO,475
1334,2018-12-20,24,30,APARTAMENTO,217
1335,2020-04-18,7,8,APARTAMENTO,356
1336,2019-07-15,28,15,APARTAMENTO,262
1337,2019-03-11,7,26,HABITACION,875
1338,2019-11-08,27,35,HABITACION,634
1339,2019-08-01,26,18,APARTAMENTO,651
1340,2020-02-29,15,15,HABITACION,637
1341,2019-07-10,6,35,HABITACION,205
1342,2019-12-17,19,28,APARTAMENTO,981
1343,2019-08-11,11,39,HABITACION,311
1344,2020-05-15,5,2,APARTAMENTO,421
1345,2019-08-17,10,38,HABITACION,215
1346,2019-04-21,13,5,APARTAMENTO,79
1347,2019-10-19,5,4,HABITACION,875
1348,2018-12-31,17,31,HABITACION,469
1349,2020-04-08,12,31,HABITACION,279
1350,2020-02-14,4,23,HABITACION,176
1351,2019-07-23,29,20,APARTAMENTO,645
1352,2019-01-05,27,34,APARTAMENTO,111
1353,2018-11-15,21,21,HABITACION,303
1354,2019-11-03,8,3,APARTAMENTO,538
1355,2019-12-17,6,22,HABITACION,389
1356,2019-06-11,17,37,APARTAMENTO,98
1357,2019-06-10,25,9,APARTAMENTO,557
1358,2020-01-26,11,37,APARTAMENTO,105
1359,2019-11-30,13,39,APARTAMENTO,843
1360,2019-10-02,20,7,APARTAMENTO,89
1361,2019-11-25,22,36,HABITACION,36
1362,2019-11-01,23,10,HABITACION,859
1363,2020-01-01,28,7,HABITACION,529
1364,2019-05-03,25,37,APARTAMENTO,103
1365,2020-03-10,1,10,HABITACION,988
1366,2019-02-16,21,21,APARTAMENTO,35
1367,2019-03-15,2,20,HABITACION,386
1368,2019-08-14,22,26,HABITACION,880
1369,2020-01-13,14,28,HABITACION,917
1370,2020-03-19,29,5,APARTAMENTO,148
1371,2019-01-25,21,13,HABITACION,553
1372,2019-02-03,19,6,HABITACION,694
1373,2019-08-17,28,1,APARTAMENTO,879
1374,2019-01-28,17,26,APARTAMENTO,835
1375,2019-12-28,13,28,APARTAMENTO,824
1376,2019-11-17,18,36,APARTAMENTO,917
1377,2019-12-08,6,27,HABITACION,365
1378,2019-09-20,10,1,HABITACION,316
1379,2019-01-01,8,14,HABITACION,77
1380,2019-05-13,12,31,HABITACION,627
1381,2019-10-17,30,34,APARTAMENTO,130
1382,2019-10-26,12,14,APARTAMENTO,999
1383,2019-08-20,10,17,APARTAMENTO,361
1384,2019-07-15,1,17,HABITACION,837
1385,2019-02-09,9,11,APARTAMENTO,555
1386,2018-11-06,1,36,APARTAMENTO,674
1387,2018-11-24,6,2,HABITACION,183
1388,2019-08-01,17,28,HABITACION,655
1389,2019-05-22,26,39,HABITACION,980
1390,2019-01-31,3,8,APARTAMENTO,912
1391,2020-04-12,14,7,APARTAMENTO,925
1392,2019-10-24,4,8,APARTAMENTO,657
1393,2019-01-31,21,8,HABITACION,89
1394,2020-03-12,13,23,APARTAMENTO,443
1395,2020-03-13,1,4,APARTAMENTO,241
1396,2019-11-16,16,29,HABITACION,498
1397,2019-08-09,1,6,HABITACION,220
1398,2020-05-11,12,8,APARTAMENTO,429
1399,2019-09-14,15,26,APARTAMENTO,988
1400,2018-11-11,22,39,APARTAMENTO,152
1401,2018-10-22,24,30,APARTAMENTO,256
1402,2019-02-17,14,25,HABITACION,515
1403,2018-11-26,11,5,APARTAMENTO,629
1404,2018-11-24,20,27,APARTAMENTO,288
1405,2019-01-09,14,19,APARTAMENTO,821
1406,2018-11-21,6,15,HABITACION,318
1407,2020-05-05,3,34,APARTAMENTO,153
1408,2019-04-27,19,12,HABITACION,812
1409,2019-12-09,28,32,HABITACION,917
1410,2019-03-30,24,29,APARTAMENTO,403
1411,2019-04-21,5,26,HABITACION,989
1412,2018-11-18,26,6,APARTAMENTO,762
1413,2019-11-28,27,2,APARTAMENTO,829
1414,2019-06-29,8,23,APARTAMENTO,954
1415,2020-05-09,1,17,APARTAMENTO,178
1416,2019-04-24,18,20,HABITACION,578
1417,2019-06-02,17,29,HABITACION,975
1418,2020-04-28,7,4,HABITACION,978
1419,2020-01-15,11,16,HABITACION,302
1420,2019-04-09,29,19,APARTAMENTO,999
1421,2019-09-10,17,12,APARTAMENTO,678
1422,2019-10-16,23,10,APARTAMENTO,970
1423,2019-07-09,17,27,APARTAMENTO,705
1424,2020-03-20,8,9,HABITACION,198
1425,2020-01-24,16,31,APARTAMENTO,435
1426,2019-05-09,27,16,HABITACION,464
1427,2019-06-06,18,19,HABITACION,381
1428,2019-08-20,18,10,APARTAMENTO,488
1429,2019-03-31,11,36,HABITACION,13
1430,2020-01-05,30,37,APARTAMENTO,703
1431,2019-10-14,5,26,HABITACION,324
1432,2019-07-19,18,27,HABITACION,522
1433,2019-05-09,15,14,APARTAMENTO,58
1434,2020-01-19,16,22,HABITACION,920
1435,2019-12-01,17,7,HABITACION,741
1436,2020-05-19,11,17,HABITACION,276
1437,2018-10-23,28,35,HABITACION,505
1438,2020-02-15,25,39,APARTAMENTO,557
1439,2018-10-23,13,10,HABITACION,644
1440,2020-03-07,26,28,HABITACION,971
1441,2019-10-18,2,19,HABITACION,979
1442,2019-04-30,2,26,HABITACION,349
1443,2020-05-16,11,37,APARTAMENTO,913
1444,2019-04-18,12,11,APARTAMENTO,346
1445,2018-12-12,22,37,APARTAMENTO,552
1446,2019-11-13,20,19,APARTAMENTO,549
1447,2020-02-18,24,5,HABITACION,47
1448,2018-11-07,21,21,APARTAMENTO,320
1449,2019-05-21,26,30,HABITACION,427
1450,2019-03-06,22,16,HABITACION,691
1451,2020-04-29,1,11,HABITACION,828
1452,2019-05-20,12,6,APARTAMENTO,130
1453,2019-10-05,25,31,APARTAMENTO,796
1454,2020-04-21,15,11,HABITACION,326
1455,2018-12-07,6,24,APARTAMENTO,396
1456,2019-09-05,19,22,APARTAMENTO,602
1457,2018-11-16,26,31,HABITACION,890
1458,2019-11-08,13,26,APARTAMENTO,710
1459,2020-01-13,26,20,HABITACION,256
1460,2019-10-16,20,3,APARTAMENTO,653
1461,2019-12-17,2,1,HABITACION,576
1462,2019-05-25,7,9,APARTAMENTO,989
1463,2019-10-14,12,20,APARTAMENTO,431
1464,2019-07-14,21,28,APARTAMENTO,174
1465,2019-10-30,1,25,HABITACION,198
1466,2020-02-04,13,21,APARTAMENTO,363
1467,2020-01-04,6,27,HABITACION,234
1468,2019-07-24,13,2,HABITACION,834
1469,2019-08-24,2,18,HABITACION,177
1470,2018-11-28,20,15,APARTAMENTO,170
1471,2019-04-09,3,37,APARTAMENTO,39
1472,2019-08-28,15,25,APARTAMENTO,185
1473,2019-06-04,28,27,HABITACION,94
1474,2019-01-21,14,39,HABITACION,624
1475,2018-11-28,8,20,HABITACION,986
1476,2019-12-27,14,4,APARTAMENTO,158
1477,2020-04-05,28,26,HABITACION,234
1478,2019-05-13,15,39,HABITACION,425
1479,2019-11-30,20,8,APARTAMENTO,517
1480,2019-08-20,2,34,APARTAMENTO,139
1481,2020-01-20,28,1,HABITACION,843
1482,2019-09-01,23,31,APARTAMENTO,197
1483,2019-05-28,16,10,HABITACION,498
1484,2019-04-07,13,5,HABITACION,43
1485,2019-09-21,1,27,HABITACION,117
1486,2019-05-27,29,19,HABITACION,490
1487,2019-05-01,22,38,HABITACION,184
1488,2019-07-12,21,33,HABITACION,431
1489,2019-01-17,2,16,APARTAMENTO,790
1490,2019-03-16,25,10,APARTAMENTO,371
1491,2019-08-08,25,9,APARTAMENTO,634
1492,2019-08-16,27,14,APARTAMENTO,138
1493,2019-02-14,22,23,HABITACION,364
1494,2019-04-22,29,32,HABITACION,681
1495,2020-03-21,16,36,APARTAMENTO,306
1496,2019-04-23,22,8,APARTAMENTO,854
1497,2019-08-04,1,2,HABITACION,871
1498,2019-06-22,30,1,HABITACION,71
1499,2018-10-25,18,18,HABITACION,368
1500,2018-12-07,25,25,APARTAMENTO,580
1501,2019-07-04,18,22,APARTAMENTO,969
1502,2020-04-03,21,3,HABITACION,779
1503,2019-06-18,4,40,HABITACION,476
1504,2018-12-17,10,20,APARTAMENTO,402
1505,2019-10-02,12,17,APARTAMENTO,182
1506,2019-05-01,4,12,HABITACION,676
1507,2020-03-27,10,26,HABITACION,589
1508,2020-04-17,22,36,APARTAMENTO,39
1509,2019-04-30,24,35,HABITACION,586
1510,2020-02-14,7,40,APARTAMENTO,932
1511,2019-08-11,26,22,HABITACION,174
1512,2019-09-06,24,10,APARTAMENTO,731
1513,2018-10-18,7,36,HABITACION,532
1514,2019-07-20,27,34,HABITACION,955
1515,2020-01-08,3,30,APARTAMENTO,35
1516,2019-08-05,27,28,HABITACION,886
1517,2019-08-25,8,9,APARTAMENTO,955
1518,2019-08-13,17,32,APARTAMENTO,492
1519,2019-09-21,1,12,HABITACION,592
1520,2019-05-23,15,32,HABITACION,516
1521,2019-07-20,3,20,HABITACION,298
1522,2019-04-26,15,22,APARTAMENTO,545
1523,2019-07-25,20,20,HABITACION,206
1524,2019-07-25,22,9,HABITACION,846
1525,2020-01-31,16,37,APARTAMENTO,102
1526,2019-03-14,27,21,APARTAMENTO,728
1527,2020-01-19,25,34,APARTAMENTO,603
1528,2018-12-25,28,37,HABITACION,997
1529,2019-06-23,9,34,APARTAMENTO,95
1530,2020-03-14,19,38,HABITACION,201
1531,2020-05-03,28,19,APARTAMENTO,103
1532,2019-03-16,8,9,HABITACION,65
1533,2019-09-11,22,27,HABITACION,72
1534,2018-11-24,23,1,APARTAMENTO,217
1535,2019-11-22,28,36,APARTAMENTO,364
1536,2020-01-25,14,32,APARTAMENTO,340
1537,2019-11-04,9,22,APARTAMENTO,323
1538,2019-05-14,3,11,HABITACION,908
1539,2020-04-14,16,2,APARTAMENTO,164
1540,2018-12-10,24,17,APARTAMENTO,54
1541,2019-05-26,1,11,APARTAMENTO,641
1542,2019-12-27,14,5,APARTAMENTO,273
1543,2019-11-17,12,37,HABITACION,955
1544,2019-08-26,7,1,APARTAMENTO,551
1545,2020-04-13,22,39,HABITACION,509
1546,2019-08-04,22,6,HABITACION,133
1547,2019-03-20,13,19,APARTAMENTO,42
1548,2018-10-22,29,6,APARTAMENTO,371
1549,2019-06-14,9,14,HABITACION,415
1550,2019-06-15,23,24,HABITACION,811
1551,2018-11-01,24,22,HABITACION,966
1552,2019-09-24,10,30,HABITACION,847
1553,2019-12-06,21,1,APARTAMENTO,268
1554,2019-09-03,23,14,APARTAMENTO,115
1555,2019-12-26,2,18,HABITACION,746
1556,2019-06-04,5,32,HABITACION,289
1557,2019-12-17,25,2,APARTAMENTO,99
1558,2019-03-25,5,22,APARTAMENTO,299
1559,2019-10-20,11,4,APARTAMENTO,523
1560,2018-12-28,26,1,HABITACION,824
1561,2019-03-21,16,17,HABITACION,817
1562,2019-06-18,15,9,HABITACION,235
1563,2019-07-19,7,8,APARTAMENTO,47
1564,2019-12-02,13,30,APARTAMENTO,652
1565,2020-02-08,5,13,HABITACION,491
1566,2019-02-24,16,37,HABITACION,439
1567,2019-01-02,16,10,HABITACION,484
1568,2019-05-12,29,23,HABITACION,186
1569,2018-12-02,21,35,APARTAMENTO,472
1570,2018-11-13,15,2,APARTAMENTO,499
1571,2019-09-21,11,16,APARTAMENTO,186
1572,2019-04-03,23,22,APARTAMENTO,614
1573,2020-03-31,12,1,HABITACION,9
1574,2020-04-05,15,36,HABITACION,285
1575,2019-02-21,25,21,APARTAMENTO,381
1576,2019-09-15,26,33,APARTAMENTO,942
1577,2019-02-19,12,11,APARTAMENTO,319
1578,2019-06-12,1,11,APARTAMENTO,14
1579,2019-10-14,9,38,HABITACION,430
1580,2019-07-08,9,20,APARTAMENTO,101
1581,2018-11-29,16,37,HABITACION,565
1582,2020-03-01,14,20,HABITACION,250
1583,2020-03-07,24,9,APARTAMENTO,494
1584,2019-09-02,25,12,APARTAMENTO,455
1585,2020-05-18,19,11,APARTAMENTO,929
1586,2018-12-15,8,14,HABITACION,372
1587,2019-10-25,30,16,HABITACION,430
1588,2019-05-03,24,8,APARTAMENTO,404
1589,2019-02-03,14,30,APARTAMENTO,99
1590,2018-11-19,29,28,HABITACION,404
1591,2019-01-29,29,16,APARTAMENTO,808
1592,2019-07-25,7,40,APARTAMENTO,55
1593,2018-11-29,26,29,APARTAMENTO,804
