id,amueblado,habitaciones,descripcionMenaje,tieneSeguro,descripcionSeguro
4498,0,6,Duis ac nibh.,1,
4639,0,10,Fusce consequat. Nulla nisl. Nunc nisl.,1,
4080,0,5,Cras pellentesque volutpat dui.,0,""
4840,1,9,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",0,""
4790,1,2,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,0,""
4293,1,8,Vivamus tortor. Duis mattis egestas metus.,1,
4232,0,1,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,
4175,1,8,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",0,""
4296,0,5,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,""
4806,1,7,Integer tincidunt ante vel ipsum.,0,""
4463,0,8,Nulla facilisi.,0,""
4765,1,3,Nulla tempus.,0,""
4551,1,2,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,
4115,0,7,Aenean lectus. Pellentesque eget nunc.,0,""
4855,1,6,In sagittis dui vel nisl.,0,""
4602,1,10,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,0,""
4116,0,5,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",0,""
4001,1,6,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,""
4193,1,9,Sed accumsan felis. Ut at dolor quis odio consequat varius.,1,
4435,1,4,In congue.,1,
4883,0,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1,
4008,0,2,Nulla suscipit ligula in lacus.,0,""
4090,1,1,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,""
4698,0,5,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,
4864,1,5,Etiam faucibus cursus urna.,0,""
4984,0,10,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1,
4985,0,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,0,""
4134,1,3,Fusce consequat. Nulla nisl.,1,
4206,0,2,Quisque porta volutpat erat.,0,""
4136,1,9,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,0,""
4899,0,4,Nulla nisl.,0,""
4177,1,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,""
4420,1,2,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1,
4488,1,6,Morbi quis tortor id nulla ultrices aliquet.,1,
4112,0,5,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0,""
4218,0,3,Suspendisse potenti.,0,""
4067,0,9,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,1,
4075,0,7,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0,""
4060,1,5,Nullam sit amet turpis elementum ligula vehicula consequat.,1,
4838,1,9,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,""
4632,0,1,Proin risus. Praesent lectus.,1,
4363,1,3,In quis justo.,0,""
4809,1,5,Proin eu mi. Nulla ac enim.,1,
4122,1,8,Nulla suscipit ligula in lacus.,1,
4333,0,7,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,1,
4311,1,5,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,
4244,0,9,In congue.,1,
4152,0,1,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0,""
4584,0,3,Nam dui.,0,""
4920,0,8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,1,
4813,1,5,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",0,""
4773,0,3,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,0,""
4948,0,4,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1,
4957,1,6,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,
4108,0,7,Curabitur in libero ut massa volutpat convallis.,1,
4975,0,3,In quis justo.,1,
4046,0,10,Nulla tellus. In sagittis dui vel nisl.,0,""
4693,1,1,Aliquam non mauris.,0,""
4840,0,8,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,
4895,1,9,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,""
4150,0,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,
4392,1,8,Etiam justo. Etiam pretium iaculis justo.,1,
4091,0,8,Proin at turpis a pede posuere nonummy. Integer non velit.,1,
4340,1,5,Phasellus in felis. Donec semper sapien a libero.,0,""
4553,0,5,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,""
4553,0,8,Morbi non lectus.,1,
4587,0,2,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,
4560,1,7,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,
4073,0,5,Quisque porta volutpat erat.,1,
4917,0,5,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,
4813,0,4,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,""
4627,1,2,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,
4287,0,5,Morbi porttitor lorem id ligula.,1,
4423,1,10,Praesent lectus.,1,
4360,0,4,Aenean lectus. Pellentesque eget nunc.,1,
4199,0,2,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",1,
4976,1,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,
4287,0,5,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1,
4398,1,6,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0,""
4482,1,6,Etiam faucibus cursus urna.,1,
4819,1,2,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,""
4653,1,4,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0,""
4178,0,7,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,
4047,0,4,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,1,
4976,0,4,Nulla suscipit ligula in lacus.,0,""
4414,0,1,Etiam faucibus cursus urna. Ut tellus.,1,
4943,1,8,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",0,""
4054,0,4,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1,
4511,0,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,
4921,1,5,Donec semper sapien a libero.,1,
4960,0,2,Etiam faucibus cursus urna.,0,""
4379,0,6,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,1,
4143,0,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,
4193,0,6,Aliquam erat volutpat. In congue.,1,
4404,0,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",0,""
4768,0,5,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,""
4774,0,1,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,""
4719,0,4,Integer ac leo.,1,
4255,0,2,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1,
4085,0,5,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,
4406,1,8,Donec semper sapien a libero.,1,
4048,1,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,""
4417,0,9,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1,
4998,0,10,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1,
4199,1,5,Duis mattis egestas metus.,0,""
4454,0,4,Nulla suscipit ligula in lacus.,1,
4521,1,2,Quisque ut erat.,0,""
4588,0,6,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,0,""
4486,0,1,Sed ante. Vivamus tortor.,0,""
4017,0,6,Nulla ut erat id mauris vulputate elementum.,1,
4601,1,10,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,1,
4390,1,9,Morbi quis tortor id nulla ultrices aliquet.,0,""
4354,1,3,Fusce posuere felis sed lacus.,1,
4005,1,7,Nullam varius.,1,
4401,1,10,Aliquam quis turpis eget elit sodales scelerisque.,1,
4104,1,5,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,0,""
4055,1,2,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,0,""
4666,0,5,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,
4332,0,1,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,""
4427,1,4,Suspendisse potenti. In eleifend quam a odio.,1,
4909,0,7,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1,
4424,1,7,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,1,
4168,0,6,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",1,
4458,0,7,Aliquam erat volutpat. In congue.,1,
4969,1,2,Quisque porta volutpat erat.,0,""
4119,1,6,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",0,""
4112,0,9,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,
4451,0,7,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4220,1,10,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,0,""
4969,1,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,
4260,0,9,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,0,""
4663,0,2,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0,""
4632,1,5,Aenean auctor gravida sem.,1,
4235,0,4,Mauris ullamcorper purus sit amet nulla.,1,
4287,1,6,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1,
4062,1,8,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0,""
4422,1,9,Quisque ut erat. Curabitur gravida nisi at nibh.,0,""
4628,1,6,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,""
4628,0,4,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0,""
4064,1,10,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,""
4223,0,8,Suspendisse potenti. Nullam porttitor lacus at turpis.,0,""
4422,1,4,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,
4074,1,2,Vivamus vestibulum sagittis sapien.,0,""
4849,0,7,Nunc rhoncus dui vel sem. Sed sagittis.,1,
4586,0,10,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,
4734,1,5,Cras in purus eu magna vulputate luctus.,1,
4408,1,4,Praesent lectus.,0,""
4566,1,7,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,1,
4949,0,9,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0,""
4317,0,3,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,
4261,0,3,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,1,
4771,1,7,Ut tellus. Nulla ut erat id mauris vulputate elementum.,1,
4417,1,2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,0,""
4360,1,9,Morbi ut odio.,0,""
4745,0,4,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0,""
4422,0,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,
4545,1,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",1,
4567,1,4,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1,
4880,1,8,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,""
4541,1,9,Suspendisse potenti.,0,""
4758,0,4,Vestibulum rutrum rutrum neque.,0,""
4878,1,5,Morbi ut odio.,0,""
4955,0,8,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,
4330,1,3,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0,""
4466,0,10,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,""
4104,0,8,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",1,
4269,0,6,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0,""
4507,1,6,Nulla mollis molestie lorem. Quisque ut erat.,0,""
4328,1,3,In hac habitasse platea dictumst.,1,
4706,0,9,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1,
4185,0,10,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",1,
4469,0,9,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,
4943,0,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",0,""
4382,0,9,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,""
4773,0,5,Vestibulum ac est lacinia nisi venenatis tristique.,0,""
4173,0,8,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0,""
4012,1,10,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,""
4565,1,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,
4364,1,7,Donec ut dolor.,1,
4887,1,7,In quis justo. Maecenas rhoncus aliquam lacus.,0,""
4607,0,5,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,0,""
4173,0,1,In hac habitasse platea dictumst.,0,""
4495,0,2,Maecenas tincidunt lacus at velit.,0,""
4368,1,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,""
4068,1,4,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,0,""
4506,1,8,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1,
4256,1,8,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1,
4661,0,1,Nulla ut erat id mauris vulputate elementum. Nullam varius.,0,""
4954,0,9,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0,""
4478,1,2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",0,""
4426,1,10,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,1,
4311,1,9,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",1,
4310,1,3,Aliquam non mauris.,1,
4016,1,7,In sagittis dui vel nisl. Duis ac nibh.,0,""
4147,0,1,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,
4528,0,10,Suspendisse accumsan tortor quis turpis. Sed ante.,1,
4645,1,8,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,
4027,1,3,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0,""
4734,0,1,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,0,""
4077,1,6,Aliquam non mauris. Morbi non lectus.,1,
4123,1,5,Duis mattis egestas metus. Aenean fermentum.,0,""
4162,0,4,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,1,
4034,1,6,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1,
4292,1,10,Morbi a ipsum. Integer a nibh.,0,""
4191,1,5,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,""
4481,1,10,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,0,""
4189,0,4,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,0,""
4210,0,10,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",1,
4459,0,3,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,1,
4652,1,6,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,0,""
4604,0,6,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,""
4651,1,6,In sagittis dui vel nisl. Duis ac nibh.,1,
4681,1,10,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,0,""
4692,1,6,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,
4531,0,4,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1,
4790,1,6,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,
4237,1,4,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,""
4891,1,6,Vivamus vestibulum sagittis sapien.,1,
4953,0,3,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1,
4170,0,3,Duis aliquam convallis nunc.,0,""
4183,0,8,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,
4179,0,9,Fusce consequat. Nulla nisl. Nunc nisl.,1,
4398,0,1,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,
4640,1,6,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1,
4456,0,10,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4727,1,10,Integer ac neque. Duis bibendum.,0,""
4939,1,2,Duis mattis egestas metus.,1,
